Features,importance
Init_Win_bytes_backward,0.8206107710860727
min_seg_size_forward,0.055855817959428365
Init_Win_bytes_forward,0.043379664110652444
Fwd IAT Min,0.020250422164456865
Total Length of Fwd Packets,0.01252340504002729
Subflow Fwd Bytes,0.010748028987111169
Bwd Packet Length Std,0.00846189309842545
Flow Bytes/s,0.006070041863468647
Flow IAT Min,0.001964179367012725
Fwd Packet Length Std,0.001800833329309025
Fwd Header Length,0.0016253415701503791
Bwd IAT Min,0.0013257307812308688
Max Packet Length,0.0013049825202974847
Bwd Packet Length Max,0.0012044313974666429
Average Packet Size,0.0010821191327991073
Bwd Packets/s,0.000886039947605386
Flow Duration,0.0008691958496274511
Packet Length Mean,0.0008597647906843573
Flow IAT Max,0.00082981410848642
Avg Fwd Segment Size,0.000712065473057058
Fwd Packet Length Mean,0.0006408204143746168
Flow IAT Mean,0.0006164311615524612
Fwd Packets/s,0.0006109858395717877
Fwd Packet Length Max,0.0005900360080139971
Flow Packets/s,0.00045249405864704605
Fwd IAT Total,0.0003919278039065381
Bwd IAT Mean,0.0003645431186352498
act_data_pkt_fwd,0.0003271256619197057
Active Min,0.0002873869799408618
Active Max,0.00027163277631320703
Fwd IAT Mean,0.0002697969775501854
Idle Mean,0.00025599490119228573
Bwd IAT Std,0.00024060365978475606
Total Fwd Packets,0.00022304807496197063
Idle Min,0.00020028342263900956
Fwd IAT Max,0.00018677420302920433
Idle Max,0.000151057699303405
Bwd Packet Length Mean,0.00014263053967933552
Subflow Fwd Packets,0.0001407459746186859
Active Mean,0.00013804430516258637
Total Length of Bwd Packets,0.00013121879666188458
Avg Bwd Segment Size,0.00012092631623494535
Bwd Header Length,0.0001104885457658973
Bwd IAT Total,0.00010565095732054111
Flow IAT Std,8.58594895158797e-05
Packet Length Std,8.543177023059396e-05
PSH Flag Count,7.77183609228311e-05
Fwd IAT Std,7.023647659428847e-05
Total Backward Packets,5.685590814796577e-05
Packet Length Variance,4.943620361681369e-05
Subflow Bwd Bytes,4.919946421049942e-05
Subflow Bwd Packets,3.8543825300167494e-05
Bwd IAT Max,3.545696167141326e-05
Down/Up Ratio,2.8447194007357326e-05
URG Flag Count,1.8786483266036796e-05
Bwd Packet Length Min,1.6606532734130074e-05
Idle Std,1.5054564409739443e-05
Min Packet Length,1.5024263125037758e-05
Fwd PSH Flags,1.0410394030565051e-05
Fwd Packet Length Min,6.302624697189216e-06
ACK Flag Count,3.1325995680145605e-06
SYN Flag Count,2.306109801365967e-06
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
ECE Flag Count,0.0
Active Std,0.0
CWE Flag Count,0.0
RST Flag Count,0.0
FIN Flag Count,0.0
Bwd URG Flags,0.0
Fwd Avg Packets/Bulk,0.0
