,0,1
0,Bwd Packet Length Std,0.29502432959378844
1,Subflow Fwd Bytes,0.12272265359166866
2,Flow Bytes/s,0.10644050655366508
3,Total Length of Fwd Packets,0.10298131828285055
4,Average Packet Size,0.08476867449650351
5,Bwd Packets/s,0.05197910448345264
6,Init_Win_bytes_forward,0.041841939130030564
7,Fwd Packet Length Std,0.03949778640532554
8,Init_Win_bytes_backward,0.020134062150337584
9,act_data_pkt_fwd,0.018207061307077468
10,Flow IAT Mean,0.014178389181230855
11,FIN Flag Count,0.011853087253448278
12,Fwd IAT Mean,0.011511979892378328
13,Flow IAT Max,0.010631624294404103
14,Subflow Bwd Packets,0.009460763292907374
15,Total Backward Packets,0.009273738075281542
16,Fwd Header Length,0.007396653789359562
17,min_seg_size_forward,0.006015490723600586
18,Fwd Packet Length Max,0.0036398833944879297
19,PSH Flag Count,0.0027114998218546998
20,Flow IAT Min,0.0025987607163231704
21,Fwd IAT Min,0.002204668932029439
22,Avg Bwd Segment Size,0.0020267474970239144
23,Bwd Packet Length Mean,0.0020046781509666933
24,Flow Duration,0.0016989007726183373
25,Subflow Bwd Bytes,0.001365611967276298
26,Bwd Header Length,0.001182445076777603
27,Fwd Packets/s,0.0011712425401818555
28,Avg Fwd Segment Size,0.0011120064267538827
29,Total Length of Bwd Packets,0.0010712786106659834
30,Fwd IAT Total,0.0010591677854171265
31,Fwd Packet Length Mean,0.0009647577850978214
32,Bwd IAT Min,0.0009048198219702767
33,Packet Length Mean,0.000893237781713905
34,Fwd IAT Max,0.0007925105898548722
35,Fwd IAT Std,0.0007356155364778568
36,Idle Min,0.0007057531233712535
37,Flow IAT Std,0.0005752360965954876
38,Bwd IAT Mean,0.000561276172788522
39,URG Flag Count,0.0005273550936355398
40,SYN Flag Count,0.00045016647863208855
41,Bwd IAT Total,0.0004276078106546844
42,Down/Up Ratio,0.0004237022260301514
43,Fwd PSH Flags,0.0003694537097488112
44,Bwd IAT Max,0.00034294450651903974
45,Idle Max,0.00031106328480531007
46,Subflow Fwd Packets,0.00030659626985706943
47,Total Fwd Packets,0.0003025296391781437
48,Idle Mean,0.00029606865344620413
49,Fwd Packet Length Min,0.0002701699594415839
50,Max Packet Length,0.00025166216282994456
51,Active Min,0.0002319290878322813
52,ACK Flag Count,0.0002280052049120891
53,Bwd IAT Std,0.00022639931645404318
54,Active Mean,0.00022428676000591736
55,Active Max,0.00022366754246700227
56,Flow Packets/s,0.0001795499267573351
57,Packet Length Std,0.00013553711877341583
58,Bwd Packet Length Max,0.00012714466989702009
59,Packet Length Variance,0.0001248077636242747
60,Bwd Packet Length Min,7.78041656403224e-05
61,Idle Std,2.102612531765161e-05
62,Min Packet Length,1.7106928978329428e-05
63,Active Std,2.6838170225302945e-06
64,CWE Flag Count,6.66626709213606e-07
65,Fwd URG Flags,4.870119636170004e-07
66,RST Flag Count,1.8809567756685373e-07
67,ECE Flag Count,1.2894562998284523e-07
68,Flow ID,0.0
69,Source IP,0.0
70,Source Port,0.0
71,Destination IP,0.0
72,Destination Port,0.0
73,Protocol,0.0
74,Timestamp,0.0
75,Bwd PSH Flags,0.0
76,Bwd URG Flags,0.0
77,Fwd Avg Bytes/Bulk,0.0
78,Fwd Avg Packets/Bulk,0.0
79,Fwd Avg Bulk Rate,0.0
80,Bwd Avg Bytes/Bulk,0.0
81,Bwd Avg Packets/Bulk,0.0
82,Bwd Avg Bulk Rate,0.0
83,External IP,0.0
